,Archive ID,Title,Volume,Image Count,SI Libraries URL,BHL URL,Internet Archive URL,BHL Link URL
87,annualreportofbo1888smiths,Annual report of the Board of Regents of the Smithsonian Institution,1888 [Includes Report USNM],1304,https://library.si.edu/digital-library/book/annualreportofbo1888smiths,http://www.biodiversitylibrary.org/ia/annualreportofbo1888smiths,https://archive.org/details/annualreportofbo1888smiths,https://www.biodiversitylibrary.org/itempdf/97651
88,annualreportofbo1879smit,Annual report of the Board of Regents of the Smithsonian Institution,1879,644,https://library.si.edu/digital-library/book/annualreportofbo1879smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1879smit,https://archive.org/details/annualreportofbo1879smit,https://www.biodiversitylibrary.org/itempdf/33419
89,annualreportofbo1904smithso,Annual report of the Board of Regents of the Smithsonian Institution,1904,1062,https://library.si.edu/digital-library/book/annualreportofbo1904smithso,http://www.biodiversitylibrary.org/ia/annualreportofbo1904smithso,https://archive.org/details/annualreportofbo1904smithso,https://www.biodiversitylibrary.org/itempdf/33454
90,annualreportofbo1903smit,Annual report of the Board of Regents of the Smithsonian Institution,1903 [Includes Report USNM],818,https://library.si.edu/digital-library/book/annualreportofbo1903smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1903smit,https://archive.org/details/annualreportofbo1903smit,https://www.biodiversitylibrary.org/itempdf/33446
91,annualreportofbo1906smitfo,Annual report of the Board of Regents of the Smithsonian Institution,1906,674,https://library.si.edu/digital-library/book/annualreportofbo1906smitfo,http://www.biodiversitylibrary.org/ia/annualreportofbo1906smitfo,https://archive.org/details/annualreportofbo1906smitfo,https://www.biodiversitylibrary.org/itempdf/50000
92,annualreportofbo1861smit,Annual report of the Board of Regents of the Smithsonian Institution,1861,480,https://library.si.edu/digital-library/book/annualreportofbo1861smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1861smit,https://archive.org/details/annualreportofbo1861smit,https://www.biodiversitylibrary.org/itempdf/35786
93,annualreportofbo1955smit,Annual report of the Board of Regents of the Smithsonian Institution,1955,634,https://library.si.edu/digital-library/book/annualreportofbo1955smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1955smit,https://archive.org/details/annualreportofbo1955smit,https://www.biodiversitylibrary.org/itempdf/33415
94,annualreportofbo18531854smit,Annual report of the Board of Regents of the Smithsonian Institution,1853-1854,770,https://library.si.edu/digital-library/book/annualreportofbo18531854smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18531854smit,https://archive.org/details/annualreportofbo18531854smit,https://www.biodiversitylibrary.org/itempdf/33490
95,annualreportofbo18471849smit,Annual report of the Board of Regents of the Smithsonian Institution,1847-1849,552,https://library.si.edu/digital-library/book/annualreportofbo18471849smit,http://www.biodiversitylibrary.org/ia/annualreportofbo18471849smit,https://archive.org/details/annualreportofbo18471849smit,https://www.biodiversitylibrary.org/itempdf/35793
96,annualreportofbo1933smit,Annual report of the Board of Regents of the Smithsonian Institution,1933,576,https://library.si.edu/digital-library/book/annualreportofbo1933smit,http://www.biodiversitylibrary.org/ia/annualreportofbo1933smit,https://archive.org/details/annualreportofbo1933smit,https://www.biodiversitylibrary.org/itempdf/35565
